"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","959","[2:19] Traer un cliente","","Sun Nov 23 23:59:48 UTC 2025","passed","Sun Nov 23 23:59:49 UTC 2025","","","",""
"","2913","[1:11] Creación de un cliente","","Sun Nov 23 23:59:45 UTC 2025","passed","Sun Nov 23 23:59:48 UTC 2025","","","",""
