"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2628","[1:11] Creación de un cliente","","Mon Nov 24 00:01:48 UTC 2025","passed","Mon Nov 24 00:01:50 UTC 2025","","","",""
"","911","[2:19] Traer un cliente","","Mon Nov 24 00:01:50 UTC 2025","passed","Mon Nov 24 00:01:51 UTC 2025","","","",""
