"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","986","[2:19] Traer un cliente","","Mon Nov 24 00:08:48 UTC 2025","passed","Mon Nov 24 00:08:49 UTC 2025","","","",""
"","2508","[1:11] Creación de un cliente","","Mon Nov 24 00:08:46 UTC 2025","passed","Mon Nov 24 00:08:48 UTC 2025","","","",""
